"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
18,7,2,3,2,1,1,1,1
18,8,1,2,1,1,1,1,2
18,8,2,1,3,3,2,2,3
18,9,1,1,2,2,2,2,1
18,9,2,3,3,3,3,3,3
18,10,1,2,3,2,3,2,2
18,10,2,1,1,3,1,3,1
18,11,1,3,2,1,2,1,3
18,11,2,2,3,3,1,2,2
18,12,1,3,2,2,2,3,3
18,12,2,1,1,1,3,1,1
18,13,1,3,3,2,1,1,1
18,13,2,2,1,1,2,2,3
18,14,1,2,3,1,2,1,3
18,14,2,1,2,3,3,3,2
18,15,1,1,2,2,1,2,2
18,15,2,3,1,3,3,3,1
18,16,1,2,2,1,1,3,3
18,16,2,3,1,3,2,1,2
18,17,1,1,3,2,3,2,1
