"Version,""Task"",""Concept"",""Att 1 - Verpflegung"",""Att 2 - Kundenbewertung"",""Att 3 - Art des Hotels"",""Att 4 - Meerblick"",""Att 5 - Preis"",""Att 6 - Zimmerkategorie"""
7,17,5,1,2,2,3,2,2
7,18,1,1,2,3,2,3,3
7,18,2,3,1,1,3,1,2
7,18,3,2,3,2,1,2,1
7,18,4,3,2,3,3,3,3
7,18,5,1,1,1,2,1,2
7,19,1,3,1,2,2,3,2
7,19,2,2,1,3,3,2,1
7,19,3,3,2,1,1,3,2
7,19,4,1,2,1,1,2,1
7,19,5,1,3,2,2,1,3
7,20,1,2,2,2,3,1,3
7,20,2,3,1,1,2,3,1
7,20,3,2,3,3,3,1,3
7,20,4,1,3,3,2,3,2
7,20,5,1,2,2,1,2,2
7,21,1,3,3,1,1,1,3
7,21,2,3,1,3,3,1,1
7,21,3,1,2,2,2,3,2
7,21,4,2,3,1,1,2,3
7,21,5,2,1,3,3,2,1
8,1,1,3,1,3,1,2,2
8,1,2,1,1,1,2,2,3
8,1,3,1,3,1,3,3,1
8,1,4,2,2,3,1,3,1
8,1,5,3,3,2,3,1,2
8,2,1,1,3,3,1,2,2
8,2,2,2,2,2,2,2,3
8,2,3,3,1,1,3,3,1
8,2,4,1,1,1,1,1,1
8,2,5,2,2,2,2,1,3
8,3,1,2,3,2,2,3,2
8,3,2,3,2,3,3,1,3
