"Version","Task","Concept","Att 1 - Verpflegung","Att 2 - Kundenbewertung","Att 3 - Art des Hotels","Att 4 - Meerblick","Att 5 - Preis","Att 6 - Zimmerkategorie"
328,1,1,1,3,3,1,2,3
328,1,2,3,1,2,2,3,1
329,1,1,3,1,3,2,3,3
329,1,2,2,2,1,3,1,2
330,1,1,2,2,1,1,2,1
330,1,2,1,3,2,3,1,2
331,1,1,3,2,2,1,1,3
331,1,2,2,1,1,2,2,2
332,1,1,1,3,3,3,3,1
332,1,2,2,1,1,2,1,3
333,1,1,3,3,2,3,3,1
333,1,2,1,2,3,1,2,2
334,1,1,3,3,1,1,1,1
334,1,2,2,2,2,2,3,3
335,1,1,1,1,3,3,2,2
335,1,2,3,3,1,2,1,3
336,1,1,1,1,3,1,3,2
336,1,2,2,2,2,3,2,1
337,1,1,3,2,3,3,1,3
337,1,2,1,3,1,2,2,1
338,1,1,2,1,2,1,3,2
338,1,2,1,2,1,2,2,3
339,1,1,2,3,3,1,1,1
339,1,2,3,1,2,3,3,2
340,1,1,3,1,1,3,2,1
340,1,2,2,3,3,2,3,2
341,1,1,2,3,3,3,2,2
341,1,2,1,2,2,1,1,3
342,1,1,1,1,2,2,1,1
342,1,2,3,2,1,1,3,3
343,1,1,2,1,3,1,2,3
343,1,2,1,2,1,2,3,2
344,1,1,3,3,2,3,1,1
344,1,2,2,1,1,2,3,3
345,1,1,3,2,3,1,2,1
345,1,2,1,3,2,3,1,2
346,1,1,3,3,2,2,2,2
346,1,2,2,2,3,3,3,1
347,1,1,2,2,2,2,2,1
347,1,2,1,1,1,1,1,3
348,1,1,1,3,1,1,3,3
348,1,2,3,1,3,3,1,2
349,1,1,2,3,1,1,1,2
349,1,2,1,1,2,3,2,3
350,1,1,3,2,3,2,3,1
350,1,2,2,3,2,1,2,3
351,1,1,1,1,1,3,3,1
351,1,2,3,2,3,2,1,2
352,1,1,3,1,1,1,2,1
352,1,2,2,2,3,3,1,3
353,1,1,1,3,2,2,3,2
